Description,Price,Rating,Review Count,URL
"Active Noise Cancelling Headphones, HROEENOI JZ02 Bluetooth Headphones, Over Ear Wireless Headphones, CVC 8.0 Microphone Deep Bass Headset, 40 Hours Playtime, Foldable Adults Travel Work PC TV Black",$39.99,4.4 out of 5 stars,581,https://www.amazon.com/Cancelling-Headphones-HROEENOI-JZ02-Microphone/dp/B08T67XB4T/ref=sr_1_19?dchild=1&keywords=Headphones&qid=1624350008&sr=8-19
"6S Wireless Headphones Over Ear, Hi-Fi Stereo Foldable Wireless Stereo Headsets Earbuds with Built-in Mic,Volume Control, FM for Phone/PC (Black & Gold)",$19.99,4.6 out of 5 stars,409,https://www.amazon.com/Wireless-Headphones-Foldable-Headsets-Earbuds/dp/B08VNFD8FS/ref=sr_1_20?dchild=1&keywords=Headphones&qid=1624350008&sr=8-20
"Powerbeats Pro Wireless Earbuds - Apple H1 Headphone Chip, Class 1 Bluetooth Headphones, 9 Hours of Listening Time, Sweat Resistant, Built-in Microphone - Navy",$169.95,4.6 out of 5 stars,"56,303",https://www.amazon.com/Powerbeats-Pro-Wireless-Earphones-Headphone/dp/B07WBTX9FH/ref=sr_1_21?dchild=1&keywords=Headphones&qid=1624350008&sr=8-21
"bopmen S80 Bluetooth Over Ear Headphones - Wireless and Wired Headphones with Deep Bass Headset, Comfortable Ear Cups, Built-in Microphone for Phone iPad PC Laptop Notebook Music",$20.99,4.0 out of 5 stars,688,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07378233RGPFNHZPCTSS&url=%2Fbopmen-S80-Bluetooth-Headphones-Built%2Fdp%2FB0853NXPWJ%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350008%26sr%3D8-22-spons%26psc%3D1&qualifier=1624350008&id=7188206164117191&widgetName=sp_btf
SENNHEISER HD 599 SE Around Ear Open Back Headphone,$98.88,4.7 out of 5 stars,"1,107",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05826312TGV8LAQE0TS7&url=%2FSennheiser-HD-599-SE-Headphone%2Fdp%2FB07RFNZYJZ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350012%26sr%3D8-1-spons%26psc%3D1&qualifier=1624350012&id=677950077878404&widgetName=sp_atf
"Philips Audio SHP9600MB Wired Headphones with Microphone -Over-Ear Open-Back Headset, 50 mm Neodymium Drivers (SHP9600MB) - Black",$99.99,4.6 out of 5 stars,"6,253",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01866223PXZZ6V2W1YC8&url=%2FPhilips-Audio-SHP9600MB-Headphones-Microphone%2Fdp%2FB091ZMKWT4%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350012%26sr%3D8-2-spons%26psc%3D1%26smid%3DA6EGA15UEFYEQ&qualifier=1624350012&id=677950077878404&widgetName=sp_atf
Apple EarPods with Lightning Connector - White,$17.10,4.7 out of 5 stars,"137,964",https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/dp/B01M0GB8CC/ref=sr_1_3?dchild=1&keywords=Headphones&qid=1624350012&sr=8-3
"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",$14.98,4.5 out of 5 stars,"16,594",https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/dp/B07SHH37M6/ref=sr_1_4?dchild=1&keywords=Headphones&qid=1624350012&sr=8-4
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",$49.99,4.4 out of 5 stars,"77,537",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/dp/B019U00D7K/ref=sr_1_5?dchild=1&keywords=Headphones&qid=1624350012&sr=8-5
"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Black",$299.00,4.7 out of 5 stars,"49,561",https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B0756CYWWD/ref=sr_1_6?dchild=1&keywords=Headphones&qid=1624350012&sr=8-6
Amazon Basics Over-Ear Studio Monitor Headphones - Black,$40.32,4.3 out of 5 stars,683,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06639792Z4Z0GQ40YW7T&url=%2FAmazonBasics-Over-Ear-Studio-Monitor-Headphones%2Fdp%2FB07GFGJPNQ%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350012%26sr%3D8-7-spons%26psc%3D1&qualifier=1624350012&id=677950077878404&widgetName=sp_mtf
Bluetooth Headphones 4-Mics Call Noise Reduction 64Hrs Occiam Wireless Earbuds IPX7 Waterproof Over Ear Earphones with 2200mAh Charging Case as Power Bank for Sports Running Workout Gaming,$42.99,4.8 out of 5 stars,764,https://www.amazon.com/Bluetooth-Headphones-Reduction-Waterproof-Earphones/dp/B092H1NQ19/ref=sr_1_8?dchild=1&keywords=Headphones&qid=1624350012&sr=8-8
TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,$29.99,4.4 out of 5 stars,"225,956",https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/ref=sr_1_9?dchild=1&keywords=Headphones&qid=1624350012&sr=8-9
"Sony ZX Series Wired On-Ear Headphones, White MDR-ZX110",$9.99,4.5 out of 5 stars,"56,897",https://www.amazon.com/Sony-Wired-Headphones-MDRZX110-WHI/dp/B00NJ2M43M/ref=sr_1_10?dchild=1&keywords=Headphones&qid=1624350012&sr=8-10
"Earbuds Headphones with Microphone 5 Pack,Earbuds Wired Stereo Earphones in-Ear Headphones Bass Earbuds, Compatible with iPhone and Android Smartphones,iPod,iPad, MP3 Players,Fits All 3.5mm Interface",$11.99,4.5 out of 5 stars,"7,993",https://www.amazon.com/Headphones-Microphone-Earphones-Compatible-Smartphones/dp/B0854F11JB/ref=sr_1_11?dchild=1&keywords=Headphones&qid=1624350012&sr=8-11
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",$49.99,4.4 out of 5 stars,"77,537",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A003671334UH7YIFHKKQ2&url=%2FCancelling-Headphones-Bluetooth-Microphone-Comfortable%2Fdp%2FB019U00D7K%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350012%26sr%3D8-12-spons%26psc%3D1&qualifier=1624350012&id=677950077878404&widgetName=sp_mtf
"Active Noise Cancelling Headphones VANKYO C750 Wireless Bluetooth Headphones Over Ear Headset with CVC 8.0 Mic Hi-Fi Sound Deep Bass, 30H Playtime, Protein Earpad for Travel, Work, Online Class-Silver",$49.99,4.6 out of 5 stars,"1,090",https://www.amazon.com/Cancelling-Headphones-Wireless-Bluetooth-Class-Silver/dp/B08DTVXNWM/ref=sr_1_13?dchild=1&keywords=Headphones&qid=1624350012&sr=8-13
"Picun B12 Wireless Bluetooth Headphones,HD Stereo Sound Over Ear Headphones with Built-in Microphones, Deep Bass 20 Hours Playtime, Fast Charge Bluetooth 5.0 Headset for Adults, School, Travel, Black",$22.99,4.3 out of 5 stars,78,https://www.amazon.com/Picun-Wireless-Bluetooth-Headphones-Microphones/dp/B08Z41RGQL/ref=sr_1_14?dchild=1&keywords=Headphones&qid=1624350012&sr=8-14
TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,$35.99,4.5 out of 5 stars,"130,501",https://www.amazon.com/TOZO-T6-Bluetooth-Headphones-Waterproof/dp/B07RGZ5NKS/ref=sr_1_15?dchild=1&keywords=Headphones&qid=1624350012&sr=8-15
"Wyze Noise-Cancelling Headphones, Wireless Over the Ear Bluetooth Headphones with Active Noise Cancellation, High-fidelity Sound, Transparency Mode, Clear Voice Pick-up, Alexa Built-in",$67.98,4.7 out of 5 stars,927,https://www.amazon.com/Noise-Cancelling-Headphones-Cancellation-High-fidelity-Transparency/dp/B08KHTJL1F/ref=sr_1_16?dchild=1&keywords=Headphones&qid=1624350012&sr=8-16
"Sephia SP3060 Earbuds, Wired in-Ear Headphones with Tangle-Free Cord, Noise Isolating, Bass Driven Sound, Metal Earphones, Carry Case, Ear Bud Tips",$14.95,4.4 out of 5 stars,"16,722",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04511632JZ5RZMJS7FCO&url=%2FSP3060-Isolating-Earphones-Headphones-BlackBerry%2Fdp%2FB0170RBJ9Q%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350012%26sr%3D8-17-spons%26psc%3D1&qualifier=1624350012&id=677950077878404&widgetName=sp_mtf
"Sony MDRZX110NC Noise Cancelling Headphones, Black",$28.00,4.3 out of 5 stars,"7,588",https://www.amazon.com/Sony-MDRZX110NC-Noise-Cancelling-Headphones/dp/B00NG57H4S/ref=sr_1_18?dchild=1&keywords=Headphones&qid=1624350012&sr=8-18
"Active Noise Cancelling Headphones, HROEENOI JZ02 Bluetooth Headphones, Over Ear Wireless Headphones, CVC 8.0 Microphone Deep Bass Headset, 40 Hours Playtime, Foldable Adults Travel Work PC TV Black",$39.99,4.4 out of 5 stars,581,https://www.amazon.com/Cancelling-Headphones-HROEENOI-JZ02-Microphone/dp/B08T67XB4T/ref=sr_1_19?dchild=1&keywords=Headphones&qid=1624350012&sr=8-19
"6S Wireless Headphones Over Ear, Hi-Fi Stereo Foldable Wireless Stereo Headsets Earbuds with Built-in Mic,Volume Control, FM for Phone/PC (Black & Gold)",$19.99,4.6 out of 5 stars,409,https://www.amazon.com/Wireless-Headphones-Foldable-Headsets-Earbuds/dp/B08VNFD8FS/ref=sr_1_20?dchild=1&keywords=Headphones&qid=1624350012&sr=8-20
"Powerbeats Pro Wireless Earbuds - Apple H1 Headphone Chip, Class 1 Bluetooth Headphones, 9 Hours of Listening Time, Sweat Resistant, Built-in Microphone - Navy",$169.95,4.6 out of 5 stars,"56,303",https://www.amazon.com/Powerbeats-Pro-Wireless-Earphones-Headphone/dp/B07WBTX9FH/ref=sr_1_21?dchild=1&keywords=Headphones&qid=1624350012&sr=8-21
"bopmen S80 Bluetooth Over Ear Headphones - Wireless and Wired Headphones with Deep Bass Headset, Comfortable Ear Cups, Built-in Microphone for Phone iPad PC Laptop Notebook Music",$20.99,4.0 out of 5 stars,688,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07378233RGPFNHZPCTSS&url=%2Fbopmen-S80-Bluetooth-Headphones-Built%2Fdp%2FB0853NXPWJ%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350012%26sr%3D8-22-spons%26psc%3D1&qualifier=1624350012&id=677950077878404&widgetName=sp_btf
SENNHEISER HD 599 SE Around Ear Open Back Headphone,$98.88,4.7 out of 5 stars,"1,107",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05826312TGV8LAQE0TS7&url=%2FSennheiser-HD-599-SE-Headphone%2Fdp%2FB07RFNZYJZ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350021%26sr%3D8-1-spons%26psc%3D1&qualifier=1624350021&id=5249445823331418&widgetName=sp_atf
"Philips Audio SHP9600MB Wired Headphones with Microphone -Over-Ear Open-Back Headset, 50 mm Neodymium Drivers (SHP9600MB) - Black",$99.99,4.6 out of 5 stars,"6,253",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01866223PXZZ6V2W1YC8&url=%2FPhilips-Audio-SHP9600MB-Headphones-Microphone%2Fdp%2FB091ZMKWT4%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350021%26sr%3D8-2-spons%26psc%3D1%26smid%3DA6EGA15UEFYEQ&qualifier=1624350021&id=5249445823331418&widgetName=sp_atf
Apple EarPods with Lightning Connector - White,$17.10,4.7 out of 5 stars,"137,964",https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/dp/B01M0GB8CC/ref=sr_1_3?dchild=1&keywords=Headphones&qid=1624350021&sr=8-3
"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",$14.98,4.5 out of 5 stars,"16,594",https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/dp/B07SHH37M6/ref=sr_1_4?dchild=1&keywords=Headphones&qid=1624350021&sr=8-4
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",$49.99,4.4 out of 5 stars,"77,537",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/dp/B019U00D7K/ref=sr_1_5?dchild=1&keywords=Headphones&qid=1624350021&sr=8-5
"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Black",$299.00,4.7 out of 5 stars,"49,561",https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B0756CYWWD/ref=sr_1_6?dchild=1&keywords=Headphones&qid=1624350021&sr=8-6
Amazon Basics Over-Ear Studio Monitor Headphones - Black,$40.32,4.3 out of 5 stars,683,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06639792Z4Z0GQ40YW7T&url=%2FAmazonBasics-Over-Ear-Studio-Monitor-Headphones%2Fdp%2FB07GFGJPNQ%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350021%26sr%3D8-7-spons%26psc%3D1&qualifier=1624350021&id=5249445823331418&widgetName=sp_mtf
Bluetooth Headphones 4-Mics Call Noise Reduction 64Hrs Occiam Wireless Earbuds IPX7 Waterproof Over Ear Earphones with 2200mAh Charging Case as Power Bank for Sports Running Workout Gaming,$42.99,4.8 out of 5 stars,764,https://www.amazon.com/Bluetooth-Headphones-Reduction-Waterproof-Earphones/dp/B092H1NQ19/ref=sr_1_8?dchild=1&keywords=Headphones&qid=1624350021&sr=8-8
TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,$29.99,4.4 out of 5 stars,"225,956",https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/ref=sr_1_9?dchild=1&keywords=Headphones&qid=1624350021&sr=8-9
"Sony ZX Series Wired On-Ear Headphones, White MDR-ZX110",$9.99,4.5 out of 5 stars,"56,897",https://www.amazon.com/Sony-Wired-Headphones-MDRZX110-WHI/dp/B00NJ2M43M/ref=sr_1_10?dchild=1&keywords=Headphones&qid=1624350021&sr=8-10
"Earbuds Headphones with Microphone 5 Pack,Earbuds Wired Stereo Earphones in-Ear Headphones Bass Earbuds, Compatible with iPhone and Android Smartphones,iPod,iPad, MP3 Players,Fits All 3.5mm Interface",$11.99,4.5 out of 5 stars,"7,993",https://www.amazon.com/Headphones-Microphone-Earphones-Compatible-Smartphones/dp/B0854F11JB/ref=sr_1_11?dchild=1&keywords=Headphones&qid=1624350021&sr=8-11
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",$49.99,4.4 out of 5 stars,"77,537",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A003671334UH7YIFHKKQ2&url=%2FCancelling-Headphones-Bluetooth-Microphone-Comfortable%2Fdp%2FB019U00D7K%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350021%26sr%3D8-12-spons%26psc%3D1&qualifier=1624350021&id=5249445823331418&widgetName=sp_mtf
"Active Noise Cancelling Headphones VANKYO C750 Wireless Bluetooth Headphones Over Ear Headset with CVC 8.0 Mic Hi-Fi Sound Deep Bass, 30H Playtime, Protein Earpad for Travel, Work, Online Class-Silver",$49.99,4.6 out of 5 stars,"1,090",https://www.amazon.com/Cancelling-Headphones-Wireless-Bluetooth-Class-Silver/dp/B08DTVXNWM/ref=sr_1_13?dchild=1&keywords=Headphones&qid=1624350021&sr=8-13
"Picun B12 Wireless Bluetooth Headphones,HD Stereo Sound Over Ear Headphones with Built-in Microphones, Deep Bass 20 Hours Playtime, Fast Charge Bluetooth 5.0 Headset for Adults, School, Travel, Black",$22.99,4.3 out of 5 stars,78,https://www.amazon.com/Picun-Wireless-Bluetooth-Headphones-Microphones/dp/B08Z41RGQL/ref=sr_1_14?dchild=1&keywords=Headphones&qid=1624350021&sr=8-14
TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,$35.99,4.5 out of 5 stars,"130,501",https://www.amazon.com/TOZO-T6-Bluetooth-Headphones-Waterproof/dp/B07RGZ5NKS/ref=sr_1_15?dchild=1&keywords=Headphones&qid=1624350021&sr=8-15
"Wyze Noise-Cancelling Headphones, Wireless Over the Ear Bluetooth Headphones with Active Noise Cancellation, High-fidelity Sound, Transparency Mode, Clear Voice Pick-up, Alexa Built-in",$67.98,4.7 out of 5 stars,927,https://www.amazon.com/Noise-Cancelling-Headphones-Cancellation-High-fidelity-Transparency/dp/B08KHTJL1F/ref=sr_1_16?dchild=1&keywords=Headphones&qid=1624350021&sr=8-16
"Sephia SP3060 Earbuds, Wired in-Ear Headphones with Tangle-Free Cord, Noise Isolating, Bass Driven Sound, Metal Earphones, Carry Case, Ear Bud Tips",$14.95,4.4 out of 5 stars,"16,722",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04511632JZ5RZMJS7FCO&url=%2FSP3060-Isolating-Earphones-Headphones-BlackBerry%2Fdp%2FB0170RBJ9Q%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350021%26sr%3D8-17-spons%26psc%3D1&qualifier=1624350021&id=5249445823331418&widgetName=sp_mtf
"Sony MDRZX110NC Noise Cancelling Headphones, Black",$28.00,4.3 out of 5 stars,"7,588",https://www.amazon.com/Sony-MDRZX110NC-Noise-Cancelling-Headphones/dp/B00NG57H4S/ref=sr_1_18?dchild=1&keywords=Headphones&qid=1624350021&sr=8-18
"Active Noise Cancelling Headphones, HROEENOI JZ02 Bluetooth Headphones, Over Ear Wireless Headphones, CVC 8.0 Microphone Deep Bass Headset, 40 Hours Playtime, Foldable Adults Travel Work PC TV Black",$39.99,4.4 out of 5 stars,581,https://www.amazon.com/Cancelling-Headphones-HROEENOI-JZ02-Microphone/dp/B08T67XB4T/ref=sr_1_19?dchild=1&keywords=Headphones&qid=1624350021&sr=8-19
"6S Wireless Headphones Over Ear, Hi-Fi Stereo Foldable Wireless Stereo Headsets Earbuds with Built-in Mic,Volume Control, FM for Phone/PC (Black & Gold)",$19.99,4.6 out of 5 stars,409,https://www.amazon.com/Wireless-Headphones-Foldable-Headsets-Earbuds/dp/B08VNFD8FS/ref=sr_1_20?dchild=1&keywords=Headphones&qid=1624350021&sr=8-20
"Powerbeats Pro Wireless Earbuds - Apple H1 Headphone Chip, Class 1 Bluetooth Headphones, 9 Hours of Listening Time, Sweat Resistant, Built-in Microphone - Navy",$169.95,4.6 out of 5 stars,"56,303",https://www.amazon.com/Powerbeats-Pro-Wireless-Earphones-Headphone/dp/B07WBTX9FH/ref=sr_1_21?dchild=1&keywords=Headphones&qid=1624350021&sr=8-21
"bopmen S80 Bluetooth Over Ear Headphones - Wireless and Wired Headphones with Deep Bass Headset, Comfortable Ear Cups, Built-in Microphone for Phone iPad PC Laptop Notebook Music",$20.99,4.0 out of 5 stars,688,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07378233RGPFNHZPCTSS&url=%2Fbopmen-S80-Bluetooth-Headphones-Built%2Fdp%2FB0853NXPWJ%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350021%26sr%3D8-22-spons%26psc%3D1&qualifier=1624350021&id=5249445823331418&widgetName=sp_btf
SENNHEISER HD 599 SE Around Ear Open Back Headphone,$98.88,4.7 out of 5 stars,"1,107",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05826312TGV8LAQE0TS7&url=%2FSennheiser-HD-599-SE-Headphone%2Fdp%2FB07RFNZYJZ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350030%26sr%3D8-1-spons%26psc%3D1&qualifier=1624350030&id=4813604903100130&widgetName=sp_atf
"Philips Audio SHP9600MB Wired Headphones with Microphone -Over-Ear Open-Back Headset, 50 mm Neodymium Drivers (SHP9600MB) - Black",$99.99,4.6 out of 5 stars,"6,253",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01866223PXZZ6V2W1YC8&url=%2FPhilips-Audio-SHP9600MB-Headphones-Microphone%2Fdp%2FB091ZMKWT4%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350030%26sr%3D8-2-spons%26psc%3D1%26smid%3DA6EGA15UEFYEQ&qualifier=1624350030&id=4813604903100130&widgetName=sp_atf
Apple EarPods with Lightning Connector - White,$17.10,4.7 out of 5 stars,"137,964",https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/dp/B01M0GB8CC/ref=sr_1_3?dchild=1&keywords=Headphones&qid=1624350030&sr=8-3
"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",$14.98,4.5 out of 5 stars,"16,594",https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/dp/B07SHH37M6/ref=sr_1_4?dchild=1&keywords=Headphones&qid=1624350030&sr=8-4
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",$49.99,4.4 out of 5 stars,"77,537",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/dp/B019U00D7K/ref=sr_1_5?dchild=1&keywords=Headphones&qid=1624350030&sr=8-5
"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Black",$299.00,4.7 out of 5 stars,"49,561",https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B0756CYWWD/ref=sr_1_6?dchild=1&keywords=Headphones&qid=1624350030&sr=8-6
Amazon Basics Over-Ear Studio Monitor Headphones - Black,$40.32,4.3 out of 5 stars,683,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06639792Z4Z0GQ40YW7T&url=%2FAmazonBasics-Over-Ear-Studio-Monitor-Headphones%2Fdp%2FB07GFGJPNQ%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350030%26sr%3D8-7-spons%26psc%3D1&qualifier=1624350030&id=4813604903100130&widgetName=sp_mtf
Bluetooth Headphones 4-Mics Call Noise Reduction 64Hrs Occiam Wireless Earbuds IPX7 Waterproof Over Ear Earphones with 2200mAh Charging Case as Power Bank for Sports Running Workout Gaming,$42.99,4.8 out of 5 stars,764,https://www.amazon.com/Bluetooth-Headphones-Reduction-Waterproof-Earphones/dp/B092H1NQ19/ref=sr_1_8?dchild=1&keywords=Headphones&qid=1624350030&sr=8-8
TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,$29.99,4.4 out of 5 stars,"225,956",https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/ref=sr_1_9?dchild=1&keywords=Headphones&qid=1624350030&sr=8-9
"Sony ZX Series Wired On-Ear Headphones, White MDR-ZX110",$9.99,4.5 out of 5 stars,"56,897",https://www.amazon.com/Sony-Wired-Headphones-MDRZX110-WHI/dp/B00NJ2M43M/ref=sr_1_10?dchild=1&keywords=Headphones&qid=1624350030&sr=8-10
"Earbuds Headphones with Microphone 5 Pack,Earbuds Wired Stereo Earphones in-Ear Headphones Bass Earbuds, Compatible with iPhone and Android Smartphones,iPod,iPad, MP3 Players,Fits All 3.5mm Interface",$11.99,4.5 out of 5 stars,"7,993",https://www.amazon.com/Headphones-Microphone-Earphones-Compatible-Smartphones/dp/B0854F11JB/ref=sr_1_11?dchild=1&keywords=Headphones&qid=1624350030&sr=8-11
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",$49.99,4.4 out of 5 stars,"77,537",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A003671334UH7YIFHKKQ2&url=%2FCancelling-Headphones-Bluetooth-Microphone-Comfortable%2Fdp%2FB019U00D7K%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624350030%26sr%3D8-12-spons%26psc%3D1&qualifier=1624350030&id=4813604903100130&widgetName=sp_mtf
"Active Noise Cancelling Headphones VANKYO C750 Wireless Bluetooth Headphones Over Ear Headset with CVC 8.0 Mic Hi-Fi Sound Deep Bass, 30H Playtime, Protein Earpad for Travel, Work, Online Class-Silver",$49.99,4.6 out of 5 stars,"1,090",https://www.amazon.com/Cancelling-Headphones-Wireless-Bluetooth-Class-Silver/dp/B08DTVXNWM/ref=sr_1_13?dchild=1&keywords=Headphones&qid=1624350030&sr=8-13
